"id","target"
133627,58.6667603577465
133629,25.007
133630,28.7077333265214
133631,25.908
133633,25.081
133634,28.0252682021692
133635,26.394
133637,26.8662961653851
133638,28.597
133639,26.26
133641,24.907
133642,27.5090524445654
133643,60.0180693839997
133645,27.751
133646,28.7749685689712
133647,27.929
133649,28.2600503532202
133650,27.099
133651,59.3499804435696
133653,28.2014987333616
133654,28.824
133655,28.0405202422666
133657,28.5474114253496
133658,27.8146397369169
133659,58.1131158545141
133661,28.267
133662,28.8955855555562
133663,28.179
133665,28.8437916687536
133666,28.1690062460573
133667,59.8569506761862
133669,28.881
133670,29.166
133671,28.2551047515606
133673,28.701
133674,28.4866566343619
133675,62.5958407162786
133677,30.1372749973799
133678,29.8829184068167
133679,29.481
133681,30.8611371890732
133682,29.6153367165931
133683,53.168
133685,29.589
133686,29.2484049905443
133687,29.2342305705625
133689,29.431
133690,29.0723119803633
133691,29.286
133693,24.881
133694,24.8
133695,24.1890633366779
133697,24.692
133698,25.112
133699,24.6427126793758
133701,23.023
133702,23.038
133703,23.216
133705,23.6177606505177
133706,23.1013207701112
133707,21.9
133709,21.3014358778681
133710,21.52
133711,22.069
133713,22.128
133714,21.182040746631
133715,22.376
133717,21.957
133718,22.595
133719,20.689
133721,23.251
133722,21.956
133723,23.534
133725,23.224
133726,23.979
133727,24.806
133729,24.61
133730,23.0964389400194
133731,23.9672136378639
133733,24.593
133734,25.179
133735,27.259439874027
133737,25.514
133738,24.4
133739,23.873
133741,25.708
133742,26.236
133743,27.0840804436569
133745,26.4076710760699
133746,25.1910513889177
133747,25.938
133749,28.035
133750,27.828
133751,27.564
133753,29.5500619553264
133754,27.1419116632162
133755,27.6245986376825
133757,31.3823499657687
133758,27.045
133759,29.8816059957073
133761,30.671
133762,30.346
133763,33.5498951212433
133765,32.791
133766,31.5519536243498
133767,31.6332724450065
133769,31.510875496535
133770,31.5416648505684
133771,50.1753446333547
133773,44.299097757102
133774,43.8478163448282
133775,44.3088465114602
133777,43.3127613362451
133778,45.3595621330732
133779,99.1757354334595
133781,90.6110440678311
133782,75.3079904939741
133783,80.292844455289
133785,73.6907584949256
133786,70.4655827276422
133787,106.121410145954
133789,63.9125842701059
133790,72.813
133791,43.3786386809007
133793,64.5748365779033
133794,59.8305326531569
133795,60.675238216127
133797,31.292842858547
133798,45.5980825150948
133799,31.753
133801,43.7237331943813
133802,31.4316670936244
133803,42.053
133805,26.684
133806,33.8533820075489
133807,30.9872456391551
133809,34.2592875543111
133810,26.832
133811,37.9366425274724
133813,24.5729928831108
133814,29.668
133815,29.0377075440011
133817,29.749
133818,24.644
133819,36.9062112185444
133820,24.1494895833319
133821,25.633
133822,24.998
133823,26.028
133824,23.4161546056851
133825,34.381624131927
133826,23.726
133827,25.236
133828,24.951
133829,24.907
133830,22.732
133831,32.23
133832,22.2945763642157
133833,24.0912376830406
133834,23.865
133835,23.855
133836,22.141
133837,32.234114996225
133838,22.867
133839,23.7267645331946
133840,23.615
133841,23.712
133842,22.613
133843,41.4696209460483
133844,24.067563820772
133845,23.8019714434916
133846,23.665
133847,23.923
133848,23.223
133849,42.289
133850,25.112
133851,24.4051243069807
133852,24.093
133853,24.585
133854,24.503
133855,47.274
133856,27.288478659003
133857,26.547
133858,26.3263620134703
133859,26.809
133860,26.872
133861,44.2611596306756
133862,26.9077757191749
133863,25.9011825346812
133864,26.0712638426071
133865,26.3671078914693
133866,26.4692475510438
133867,23.451755958978
133868,20.677
133869,20.6916282850867
133870,20.25
133871,20.698
133872,20.4127244021421
133873,18.574
133874,17.137391988775
133875,17.002
133876,17.261
